t, portAccel, starAccel, portVel, starVel, portDist, starDist, xPos, yPos, theta
0.000000,3.422339,1.996364,0.034235,0.019971,0.002054,0.001198,0.001626,-0.000005,-0.000029
0.010000,3.421160,1.995677,0.068459,0.039934,0.006162,0.003594,0.004878,-0.000026,-0.000086
0.020000,3.419982,1.994989,0.102670,0.059891,0.012322,0.007188,0.009754,-0.000074,-0.000171
0.030000,3.418804,1.994302,0.136870,0.079841,0.020534,0.011978,0.016255,-0.000158,-0.000285
0.040000,3.417627,1.993616,0.171058,0.099784,0.030798,0.017965,0.024379,-0.000291,-0.000428
0.050000,3.416450,1.992929,0.205234,0.119720,0.043112,0.025148,0.034126,-0.000482,-0.000599
0.060000,3.415273,1.992243,0.239399,0.139649,0.057475,0.033527,0.045495,-0.000744,-0.000798
0.070000,3.414097,1.991557,0.273552,0.159572,0.073889,0.043102,0.058484,-0.001088,-0.001026
0.080000,3.412921,1.990871,0.307692,0.179487,0.092350,0.053871,0.073093,-0.001525,-0.001283
0.090000,3.411746,1.990185,0.341822,0.199396,0.112859,0.065835,0.089320,-0.002066,-0.001567
0.100000,3.410571,1.989500,0.375939,0.219298,0.135416,0.078993,0.107165,-0.002723,-0.001881
0.110000,3.409396,1.988815,0.410045,0.239193,0.160018,0.093344,0.126626,-0.003508,-0.002222
0.120000,3.408222,1.988130,0.444139,0.259081,0.186667,0.108889,0.147703,-0.004433,-0.002593
0.130000,3.407049,1.987445,0.478221,0.278962,0.215360,0.125627,0.170393,-0.005510,-0.002991
0.140000,3.405875,1.986761,0.512292,0.298837,0.246098,0.143557,0.194695,-0.006751,-0.003418
0.150000,3.404702,1.986076,0.546350,0.318704,0.278879,0.162679,0.220608,-0.008168,-0.003873
0.160000,3.403530,1.985392,0.580397,0.338565,0.313702,0.182993,0.248130,-0.009774,-0.004357
0.170000,3.402358,1.984709,0.614433,0.358419,0.350568,0.204498,0.277259,-0.011581,-0.004869
0.180000,3.401186,1.984025,0.648456,0.378266,0.389476,0.227194,0.307995,-0.013602,-0.005409
0.190000,3.400015,1.983342,0.682468,0.398106,0.430424,0.251081,0.340334,-0.015850,-0.005978
0.200000,3.398844,1.982659,0.716468,0.417940,0.473412,0.276157,0.374275,-0.018337,-0.006575
0.210000,3.397673,1.981976,0.750457,0.437766,0.518439,0.302423,0.409816,-0.021077,-0.007201
0.220000,3.396503,1.981294,0.784433,0.457586,0.565505,0.329878,0.446956,-0.024082,-0.007854
0.230000,3.395334,1.980611,0.818398,0.477399,0.614609,0.358522,0.485691,-0.027366,-0.008536
0.240000,3.394164,1.979929,0.852352,0.497205,0.665750,0.388354,0.526019,-0.030942,-0.009247
0.250000,3.392995,1.979247,0.886293,0.517004,0.718928,0.419375,0.567939,-0.034824,-0.009985
0.260000,3.391827,1.978566,0.920223,0.536797,0.774141,0.451582,0.611447,-0.039025,-0.010752
0.270000,3.390659,1.977884,0.954142,0.556583,0.831390,0.484977,0.656541,-0.043558,-0.011547
0.280000,3.389491,1.977203,0.988048,0.576361,0.890673,0.519559,0.703219,-0.048439,-0.012370
0.290000,3.388324,1.976522,1.021943,0.596133,0.951989,0.555327,0.751478,-0.053680,-0.013222
0.300000,3.387157,1.975842,1.055826,0.615899,1.015339,0.592281,0.801314,-0.059295,-0.014102
0.310000,3.385991,1.975161,1.089698,0.635657,1.080721,0.630420,0.852725,-0.065299,-0.015010
0.320000,3.384825,1.974481,1.123558,0.655409,1.148134,0.669745,0.905708,-0.071707,-0.015946
0.330000,3.383659,1.973801,1.157406,0.675154,1.217579,0.710254,0.960260,-0.078531,-0.016911
0.340000,3.382494,1.973121,1.191243,0.694892,1.289053,0.751948,1.016377,-0.085787,-0.017904
0.350000,3.381329,1.972442,1.225068,0.714623,1.362557,0.794825,1.074055,-0.093489,-0.018924
0.360000,3.380164,1.971763,1.258881,0.734347,1.438090,0.838886,1.133292,-0.101653,-0.019973
0.370000,3.379000,1.971083,1.292683,0.754065,1.515651,0.884130,1.194084,-0.110292,-0.021051
0.380000,3.377837,1.970405,1.326473,0.773776,1.595239,0.930556,1.256427,-0.119421,-0.022156
0.390000,3.376673,1.969726,1.360251,0.793480,1.676854,0.978165,1.320316,-0.129056,-0.023290
0.400000,3.375510,1.969048,1.394018,0.813177,1.760495,1.026956,1.385749,-0.139212,-0.024451
0.410000,3.374348,1.968370,1.427773,0.832867,1.846162,1.076928,1.452720,-0.149903,-0.025641
0.420000,3.373186,1.967692,1.461516,0.852551,1.933853,1.128081,1.521225,-0.161145,-0.026859
0.430000,3.372024,1.967014,1.495248,0.872228,2.023568,1.180414,1.591261,-0.172954,-0.028105
0.440000,3.370863,1.966337,1.528968,0.891898,2.115306,1.233928,1.662822,-0.185345,-0.029379
0.450000,3.369702,1.965660,1.562677,0.911562,2.209066,1.288622,1.735904,-0.198333,-0.030681
0.460000,3.368542,1.964983,1.596374,0.931218,2.304849,1.344495,1.810502,-0.211933,-0.032012
0.470000,3.367382,1.964306,1.630059,0.950868,2.402652,1.401547,1.886611,-0.226163,-0.033370
0.480000,3.366222,1.963630,1.663733,0.970511,2.502476,1.459778,1.964226,-0.241037,-0.034757
0.490000,3.365063,1.962953,1.697395,0.990147,2.604320,1.519187,2.043342,-0.256572,-0.036171
0.500000,3.363904,1.962277,1.731046,1.009777,2.708183,1.579773,2.123953,-0.272783,-0.037614
0.510000,3.362745,1.961602,1.764685,1.029400,2.814064,1.641537,2.206053,-0.289687,-0.039084
0.520000,3.361587,1.960926,1.798313,1.049016,2.921963,1.704478,2.289638,-0.307299,-0.040583
0.530000,3.360430,1.960251,1.831928,1.068625,3.031878,1.768596,2.374700,-0.325637,-0.042109
0.540000,3.359272,1.959576,1.865533,1.088227,3.143810,1.833889,2.461235,-0.344715,-0.043664
0.550000,3.358116,1.958901,1.899125,1.107823,3.257758,1.900359,2.549235,-0.364552,-0.045247
0.560000,3.356959,1.958226,1.932707,1.127412,3.373720,1.968004,2.638695,-0.385162,-0.046857
0.570000,3.355803,1.957552,1.966276,1.146994,3.491697,2.036823,2.729608,-0.406564,-0.048496
0.580000,3.354647,1.956878,1.999834,1.166570,3.611687,2.106817,2.821968,-0.428772,-0.050162
0.590000,3.353492,1.956204,2.033381,1.186139,3.733690,2.177986,2.915767,-0.451805,-0.051857
0.600000,3.352337,1.955530,2.066916,1.205701,3.857705,2.250328,3.010998,-0.475679,-0.053579
0.610000,3.351183,1.954857,2.100439,1.225256,3.983731,2.323843,3.107655,-0.500411,-0.055330
0.620000,3.350029,1.954183,2.133951,1.244805,4.111768,2.398531,3.205730,-0.526017,-0.057108
0.630000,3.348875,1.953510,2.167451,1.264346,4.241815,2.474392,3.305216,-0.552515,-0.058914
0.640000,3.347722,1.952838,2.200940,1.283882,4.373872,2.551425,3.406104,-0.579922,-0.060748
0.650000,3.346569,1.952165,2.234417,1.303410,4.507937,2.629630,3.508387,-0.608254,-0.062610
0.660000,3.345416,1.951493,2.267883,1.322932,4.644010,2.709006,3.612058,-0.637530,-0.064500
0.670000,3.344264,1.950821,2.301337,1.342447,4.782090,2.789552,3.717106,-0.667765,-0.066418
0.680000,3.343113,1.950149,2.334780,1.361955,4.922177,2.871270,3.823525,-0.698979,-0.068364
0.690000,3.341961,1.949477,2.368211,1.381456,5.064269,2.954157,3.931306,-0.731187,-0.070337
0.700000,3.340810,1.948806,2.401630,1.400951,5.208367,3.038214,4.040439,-0.764407,-0.072338
0.710000,3.339660,1.948135,2.435038,1.420439,5.354469,3.123440,4.150916,-0.798657,-0.074368
0.720000,3.338510,1.947464,2.468435,1.439920,5.502575,3.209836,4.262728,-0.833954,-0.076425
0.730000,3.337360,1.946793,2.501820,1.459395,5.652685,3.297399,4.375864,-0.870316,-0.078510
0.740000,3.336211,1.946123,2.535194,1.478863,5.804796,3.386131,4.490317,-0.907760,-0.080622
0.750000,3.335062,1.945453,2.568556,1.498324,5.958910,3.476031,4.606075,-0.946304,-0.082763
0.760000,3.333913,1.944783,2.601906,1.517779,6.115024,3.567097,4.723128,-0.985966,-0.084931
0.770000,3.332765,1.944113,2.635246,1.537227,6.273139,3.659331,4.841468,-1.026763,-0.087127
0.780000,3.331617,1.943444,2.668573,1.556668,6.433253,3.752731,4.961082,-1.068712,-0.089351
0.790000,3.330470,1.942774,2.701889,1.576102,6.595366,3.847297,5.081961,-1.111833,-0.091602
0.800000,3.329323,1.942105,2.735194,1.595530,6.759478,3.943029,5.204094,-1.156142,-0.093882
0.810000,3.328177,1.941436,2.768487,1.614951,6.925587,4.039926,5.327469,-1.201657,-0.096189
0.820000,3.327030,1.940768,2.801769,1.634365,7.093694,4.137988,5.452075,-1.248396,-0.098524
0.830000,3.325885,1.940099,2.835039,1.653773,7.263796,4.237214,5.577902,-1.296378,-0.100886
0.840000,3.324739,1.939431,2.868298,1.673174,7.435894,4.337605,5.704936,-1.345619,-0.103276
0.850000,3.323594,1.938763,2.901546,1.692568,7.609987,4.439159,5.833167,-1.396138,-0.105694
