t, xpos, ypos
0.000000,0.000000,1.000000
0.001000,0.002236,0.999995
0.002000,0.004472,0.999980
0.003000,0.006708,0.999955
0.004000,0.008944,0.999919
0.005000,0.011179,0.999874
0.006000,0.013415,0.999818
0.007000,0.015651,0.999752
0.008000,0.017886,0.999676
0.009000,0.020122,0.999589
0.010000,0.022357,0.999491
0.011000,0.024593,0.999383
0.012000,0.026829,0.999265
0.013000,0.029064,0.999136
0.014000,0.031300,0.998996
0.015000,0.033536,0.998846
0.016000,0.035771,0.998685
0.017000,0.038007,0.998513
0.018000,0.040243,0.998331
0.019000,0.042479,0.998137
0.020000,0.044715,0.997933
0.021000,0.046951,0.997717
0.022000,0.049187,0.997491
0.023000,0.051424,0.997253
0.024000,0.053660,0.997005
0.025000,0.055897,0.996745
0.026000,0.058133,0.996474
0.027000,0.060370,0.996192
0.028000,0.062607,0.995899
0.029000,0.064845,0.995595
0.030000,0.067082,0.995279
0.031000,0.069320,0.994952
0.032000,0.071557,0.994613
0.033000,0.073795,0.994263
0.034000,0.076034,0.993902
0.035000,0.078272,0.993529
0.036000,0.080511,0.993145
0.037000,0.082750,0.992749
0.038000,0.084989,0.992342
0.039000,0.087228,0.991923
0.040000,0.089468,0.991492
0.041000,0.091708,0.991050
0.042000,0.093948,0.990595
0.043000,0.096189,0.990130
0.044000,0.098429,0.989652
0.045000,0.100671,0.989163
0.046000,0.102912,0.988662
0.047000,0.105154,0.988149
0.048000,0.107396,0.987624
0.049000,0.109638,0.987087
0.050000,0.111881,0.986538
0.051000,0.114124,0.985978
0.052000,0.116368,0.985405
0.053000,0.118612,0.984820
0.054000,0.120856,0.984224
0.055000,0.123100,0.983615
0.056000,0.125345,0.982995
0.057000,0.127591,0.982362
0.058000,0.129837,0.981717
0.059000,0.132083,0.981060
0.060000,0.134329,0.980391
0.061000,0.136577,0.979709
0.062000,0.138824,0.979016
0.063000,0.141072,0.978310
0.064000,0.143320,0.977592
0.065000,0.145569,0.976862
0.066000,0.147819,0.976119
0.067000,0.150068,0.975365
0.068000,0.152319,0.974598
0.069000,0.154569,0.973818
0.070000,0.156821,0.973027
0.071000,0.159072,0.972223
0.072000,0.161325,0.971406
0.073000,0.163577,0.970578
0.074000,0.165831,0.969737
0.075000,0.168084,0.968883
0.076000,0.170339,0.968017
0.077000,0.172594,0.967139
0.078000,0.174849,0.966248
0.079000,0.177105,0.965345
0.080000,0.179362,0.964430
0.081000,0.181619,0.963502
0.082000,0.183876,0.962561
0.083000,0.186134,0.961608
0.084000,0.188393,0.960643
0.085000,0.190653,0.959665
0.086000,0.192913,0.958674
0.087000,0.195173,0.957671
0.088000,0.197434,0.956656
0.089000,0.199696,0.955628
0.090000,0.201959,0.954588
0.091000,0.204222,0.953535
0.092000,0.206485,0.952469
0.093000,0.208750,0.951391
0.094000,0.211014,0.950301
0.095000,0.213280,0.949197
0.096000,0.215546,0.948082
0.097000,0.217813,0.946954
0.098000,0.220081,0.945813
0.099000,0.222349,0.944660
0.100000,0.224618,0.943494
0.101000,0.226887,0.942316
0.102000,0.229157,0.941125
0.103000,0.231428,0.939921
0.104000,0.233700,0.938705
0.105000,0.235972,0.937477
0.106000,0.238245,0.936236
0.107000,0.240519,0.934982
0.108000,0.242793,0.933716
0.109000,0.245068,0.932437
0.110000,0.247344,0.931146
0.111000,0.249621,0.929843
0.112000,0.251898,0.928526
0.113000,0.254176,0.927198
0.114000,0.256455,0.925857
0.115000,0.258734,0.924503
0.116000,0.261015,0.923137
0.117000,0.263296,0.921758
0.118000,0.265578,0.920367
0.119000,0.267860,0.918963
0.120000,0.270143,0.917547
0.121000,0.272427,0.916119
0.122000,0.274712,0.914678
0.123000,0.276998,0.913225
0.124000,0.279284,0.911759
0.125000,0.281571,0.910281
0.126000,0.283859,0.908790
0.127000,0.286148,0.907287
0.128000,0.288438,0.905772
0.129000,0.290728,0.904244
0.130000,0.293019,0.902704
0.131000,0.295311,0.901152
0.132000,0.297604,0.899587
0.133000,0.299898,0.898010
0.134000,0.302192,0.896421
0.135000,0.304487,0.894819
0.136000,0.306783,0.893206
0.137000,0.309080,0.891580
0.138000,0.311378,0.889941
0.139000,0.313677,0.888291
0.140000,0.315976,0.886628
0.141000,0.318276,0.884953
0.142000,0.320577,0.883266
0.143000,0.322879,0.881567
0.144000,0.325182,0.879856
0.145000,0.327486,0.878132
0.146000,0.329790,0.876397
0.147000,0.332096,0.874649
0.148000,0.334402,0.872890
0.149000,0.336709,0.871118
0.150000,0.339017,0.869335
0.151000,0.341326,0.867539
0.152000,0.343636,0.865731
0.153000,0.345946,0.863912
0.154000,0.348258,0.862081
0.155000,0.350570,0.860237
0.156000,0.352883,0.858382
0.157000,0.355198,0.856515
0.158000,0.357513,0.854636
0.159000,0.359829,0.852746
0.160000,0.362145,0.850843
0.161000,0.364463,0.848929
0.162000,0.366782,0.847003
0.163000,0.369101,0.845066
0.164000,0.371422,0.843117
0.165000,0.373743,0.841156
0.166000,0.376065,0.839183
0.167000,0.378388,0.837199
0.168000,0.380713,0.835203
0.169000,0.383038,0.833196
0.170000,0.385363,0.831178
0.171000,0.387690,0.829147
0.172000,0.390018,0.827106
0.173000,0.392347,0.825053
0.174000,0.394676,0.822988
0.175000,0.397007,0.820913
0.176000,0.399338,0.818826
0.177000,0.401671,0.816727
0.178000,0.404004,0.814618
0.179000,0.406338,0.812497
0.180000,0.408673,0.810365
0.181000,0.411009,0.808221
0.182000,0.413346,0.806067
0.183000,0.415684,0.803902
0.184000,0.418023,0.801725
0.185000,0.420363,0.799537
0.186000,0.422704,0.797339
0.187000,0.425045,0.795129
0.188000,0.427388,0.792909
0.189000,0.429732,0.790677
0.190000,0.432076,0.788435
0.191000,0.434422,0.786182
0.192000,0.436768,0.783918
0.193000,0.439115,0.781644
0.194000,0.441464,0.779358
0.195000,0.443813,0.777062
0.196000,0.446163,0.774756
0.197000,0.448514,0.772438
0.198000,0.450866,0.770110
0.199000,0.453219,0.767772
0.200000,0.455573,0.765423
0.201000,0.457928,0.763064
0.202000,0.460284,0.760694
0.203000,0.462641,0.758314
0.204000,0.464999,0.755924
0.205000,0.467358,0.753523
0.206000,0.469717,0.751112
0.207000,0.472078,0.748691
0.208000,0.474440,0.746259
0.209000,0.476802,0.743818
0.210000,0.479166,0.741366
0.211000,0.481530,0.738904
0.212000,0.483895,0.736433
0.213000,0.486262,0.733951
0.214000,0.488629,0.731460
0.215000,0.490997,0.728958
0.216000,0.493367,0.726447
0.217000,0.495737,0.723926
0.218000,0.498108,0.721395
0.219000,0.500480,0.718855
0.220000,0.502853,0.716305
0.221000,0.505227,0.713745
0.222000,0.507602,0.711175
0.223000,0.509977,0.708597
0.224000,0.512354,0.706008
0.225000,0.514732,0.703410
0.226000,0.517111,0.700803
0.227000,0.519490,0.698187
0.228000,0.521871,0.695561
0.229000,0.524252,0.692926
0.230000,0.526635,0.690282
0.231000,0.529018,0.687628
0.232000,0.531402,0.684966
0.233000,0.533788,0.682294
0.234000,0.536174,0.679614
0.235000,0.538561,0.676924
0.236000,0.540949,0.674226
0.237000,0.543338,0.671519
0.238000,0.545728,0.668802
0.239000,0.548119,0.666078
0.240000,0.550511,0.663344
0.241000,0.552903,0.660602
0.242000,0.555297,0.657851
0.243000,0.557692,0.655092
0.244000,0.560087,0.652324
0.245000,0.562484,0.649547
0.246000,0.564881,0.646763
0.247000,0.567279,0.643969
0.248000,0.569678,0.641168
0.249000,0.572078,0.638358
0.250000,0.574479,0.635540
0.251000,0.576881,0.632714
0.252000,0.579284,0.629880
0.253000,0.581688,0.627038
0.254000,0.584092,0.624188
0.255000,0.586498,0.621330
0.256000,0.588904,0.618464
0.257000,0.591312,0.615590
0.258000,0.593720,0.612708
0.259000,0.596129,0.609819
0.260000,0.598539,0.606922
0.261000,0.600950,0.604017
0.262000,0.603362,0.601105
0.263000,0.605774,0.598186
0.264000,0.608188,0.595259
0.265000,0.610602,0.592324
0.266000,0.613018,0.589382
0.267000,0.615434,0.586433
0.268000,0.617851,0.583477
0.269000,0.620269,0.580513
0.270000,0.622688,0.577543
0.271000,0.625107,0.574565
0.272000,0.627528,0.571581
0.273000,0.629949,0.568589
0.274000,0.632372,0.565590
0.275000,0.634795,0.562585
0.276000,0.637219,0.559573
0.277000,0.639643,0.556554
0.278000,0.642069,0.553529
0.279000,0.644496,0.550497
0.280000,0.646923,0.547459
0.281000,0.649351,0.544414
0.282000,0.651780,0.541362
0.283000,0.654210,0.538304
0.284000,0.656641,0.535240
0.285000,0.659072,0.532170
0.286000,0.661504,0.529094
0.287000,0.663937,0.526011
0.288000,0.666371,0.522922
0.289000,0.668806,0.519828
0.290000,0.671242,0.516727
0.291000,0.673678,0.513621
0.292000,0.676115,0.510509
0.293000,0.678553,0.507391
0.294000,0.680992,0.504267
0.295000,0.683431,0.501138
0.296000,0.685871,0.498003
0.297000,0.688312,0.494862
0.298000,0.690754,0.491717
0.299000,0.693197,0.488565
0.300000,0.695640,0.485409
0.301000,0.698084,0.482247
0.302000,0.700529,0.479080
0.303000,0.702975,0.475908
0.304000,0.705421,0.472731
0.305000,0.707868,0.469549
0.306000,0.710316,0.466361
0.307000,0.712765,0.463169
0.308000,0.715214,0.459973
0.309000,0.717664,0.456771
0.310000,0.720115,0.453565
0.311000,0.722567,0.450354
0.312000,0.725019,0.447138
0.313000,0.727472,0.443918
0.314000,0.729925,0.440694
0.315000,0.732380,0.437465
0.316000,0.734835,0.434232
0.317000,0.737291,0.430995
0.318000,0.739747,0.427753
0.319000,0.742204,0.424508
0.320000,0.744662,0.421258
0.321000,0.747120,0.418005
0.322000,0.749579,0.414747
0.323000,0.752039,0.411486
0.324000,0.754500,0.408220
0.325000,0.756961,0.404952
0.326000,0.759423,0.401679
0.327000,0.761885,0.398403
0.328000,0.764348,0.395123
0.329000,0.766812,0.391840
0.330000,0.769276,0.388554
0.331000,0.771741,0.385264
0.332000,0.774207,0.381971
0.333000,0.776673,0.378675
0.334000,0.779139,0.375375
0.335000,0.781607,0.372073
0.336000,0.784075,0.368767
0.337000,0.786543,0.365459
0.338000,0.789013,0.362148
0.339000,0.791482,0.358834
0.340000,0.793953,0.355517
0.341000,0.796423,0.352198
0.342000,0.798895,0.348876
0.343000,0.801367,0.345552
0.344000,0.803839,0.342225
0.345000,0.806312,0.338896
0.346000,0.808786,0.335564
0.347000,0.811260,0.332230
0.348000,0.813735,0.328894
0.349000,0.816210,0.325556
0.350000,0.818686,0.322216
0.351000,0.821162,0.318874
0.352000,0.823639,0.315530
0.353000,0.826116,0.312184
0.354000,0.828594,0.308836
0.355000,0.831072,0.305487
0.356000,0.833551,0.302136
0.357000,0.836030,0.298784
0.358000,0.838509,0.295430
0.359000,0.840989,0.292074
0.360000,0.843470,0.288717
0.361000,0.845951,0.285359
0.362000,0.848432,0.282000
