xpos, ypos
0.044715,0.997933
0.089468,0.991492
0.134329,0.980391
0.179362,0.964430
0.224618,0.943494
0.270143,0.917547
0.315976,0.886628
0.362145,0.850843
0.385363,0.831178
0.408673,0.810365
0.432076,0.788435
0.455573,0.765423
0.479166,0.741366
0.502853,0.716305
0.526635,0.690282
0.550511,0.663344
0.574479,0.635540
0.598539,0.606922
0.622688,0.577543
0.646923,0.547459
0.671242,0.516727
0.695640,0.485409
0.720115,0.453565
0.744662,0.421258
0.769276,0.388554
0.793953,0.355517
0.818686,0.322216
0.843470,0.288717
0.868299,0.255091
0.893165,0.221405
0.918063,0.187731
0.942984,0.154138
0.967920,0.120697
0.992864,0.087479
1.017807,0.054554
1.042739,0.021992
1.067652,-0.010137
1.092536,-0.041763
1.117381,-0.072818
1.142176,-0.103235
1.166910,-0.132946
1.191573,-0.161886
1.216153,-0.189990
1.240639,-0.217197
1.265017,-0.243444
1.289276,-0.268673
1.313403,-0.292825
1.337386,-0.315847
1.361209,-0.337683
1.384860,-0.358285
1.408326,-0.377603
1.454639,-0.412209
1.500032,-0.441172
1.544381,-0.464214
1.587559,-0.481111
1.629433,-0.491699
1.669869,-0.495879
1.708724,-0.493624
1.745856,-0.484977
1.781116,-0.470066
1.814351,-0.449101
1.845406,-0.422380
1.874123,-0.390297
1.900338,-0.353346
1.923885,-0.312122
1.944597,-0.267333
1.962301,-0.219796
1.976822,-0.170451
1.987983,-0.120359
1.995605,-0.070710
1.999504,-0.022828
